Silvia Silva da Costa Botelho,FURG
Silvio Guimaraes,PUC Minas
Solange Rezende,ICMC/USP
Teresa Ludermir,UFPE
Thales Vieira,UFAL
Thiago Pedro Donadon Homem,IFSP
Thiago da Silveira,UFRGS
Tiago Ferreto,PUC-RS
Tiago Pereira do Nascimento,UFPB
Vinicius Costa de Souza,Unisinos
Vinicius Menezes de Oliveira,FURG
Yoshiharu Kohayakawa,IME/USP
Zanoni Dias,UNICAMP
